,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
289,U.S. Polo Assn.,Men,7999,1240,38,3.7,6759,Low-Mid,Average,Unknown
290,U.S. Polo Assn.,Men,3499,747,67,4.5,2752,Budget,Good,Unknown
291,Campus,Men,5999,2386,67,4.0,3613,Mid,Average,Unknown
292,U.S. Polo Assn.,Men,5999,869,66,4.0,5130,Budget,Average,Unknown
293,U.S. Polo Assn.,Unisex,1999,1749,66,4.0,250,Low-Mid,Average,Casual
294,PUMA,Unisex,3999,1499,74,3.6,2500,Low-Mid,Average,Unknown
295,PUMA,Unisex,3799,3419,74,3.8,380,Upper-Mid,Average,Casual
296,U.S. Polo Assn.,Women,3699,3400,66,3.5,299,Upper-Mid,Average,Unknown
297,ASICS,Women,2999,1191,66,3.6,1808,Low-Mid,Average,Unknown
298,Reebok,Women,3799,7498,66,4.0,-3699,Premium,Average,Unknown
299,PUMA,Women,5999,779,66,3.3,5220,Budget,Average,Casual
300,PUMA,Men,5999,1664,28,4.3,4335,Low-Mid,Good,Casual
301,PUMA,Men,3499,2244,28,4.6,1255,Mid,Excellent,Unknown
302,Skechers,Women,7999,899,50,4.8,7100,Budget,Excellent,Unknown
303,Skechers,Men,2799,7999,50,4.8,-5200,Premium,Excellent,Casual
304,PUMA,Men,4299,749,64,4.3,3550,Budget,Good,Unknown
305,SPARX,Women,3999,649,64,4.3,3350,Budget,Good,Casual
306,PUMA,Women,5499,849,54,4.0,4650,Budget,Average,Casual
307,Skechers,Women,5999,499,54,2.6,5500,Budget,Poor,Casual
308,Cruiser,Men,6499,3600,54,4.6,2899,Upper-Mid,Excellent,Casual
309,Cruiser,Women,6999,999,54,5.0,6000,Budget,Excellent,Casual
310,Campus,Women,2349,1267,35,4.0,1082,Low-Mid,Average,Casual
311,Cruiser,Women,4499,6999,35,4.4,-2500,Premium,Good,Casual
312,Boldfit,Women,6499,2526,44,2.5,3973,Mid,Poor,Casual
313,Campus,Women,4499,2319,44,5.0,2180,Mid,Excellent,Unknown
314,Bacca Bucci,Men,4499,2149,60,5.0,2350,Mid,Excellent,Casual
315,Cruiser,Women,2699,4799,60,4.5,-2100,Upper-Mid,Good,Casual
316,Centrino,Women,3499,1826,40,4.6,1673,Low-Mid,Excellent,Unknown
317,Cruiser,Women,2499,2399,40,5.0,100,Mid,Excellent,Casual
318,Centrino,Women,2499,2370,58,4.2,129,Mid,Good,Casual
319,SPARX,Women,2499,699,58,3.8,1800,Budget,Average,Casual
320,PUMA,Men,2499,1999,57,4.1,500,Low-Mid,Good,Unknown
321,PUMA,Unisex,2499,1849,57,4.4,650,Low-Mid,Good,Running
322,Bacca Bucci,Women,2349,2621,36,5.0,-272,Mid,Excellent,Casual
323,Boldfit,Men,6999,2489,36,4.4,4510,Mid,Good,Casual
324,Campus,Men,4499,2814,52,5.0,1685,Mid,Excellent,Casual
325,PUMA,Men,3299,1098,52,4.4,2201,Low-Mid,Good,Unknown
326,PUMA,Men,3299,1974,50,4.5,1325,Low-Mid,Good,Unknown
327,Skechers,Men,3499,4299,50,3.5,-800,Upper-Mid,Average,Casual
328,U.S. Polo Assn.,Men,2799,2275,45,3.6,524,Mid,Average,Casual
329,PUMA,Men,6999,5399,45,4.0,1600,Premium,Average,Casual
330,U.S. Polo Assn.,Men,4499,1316,47,4.2,3183,Low-Mid,Good,Casual
331,PUMA,Men,6499,1534,47,4.0,4965,Low-Mid,Average,Casual
332,LENSBURY,Men,3799,1199,38,5.0,2600,Low-Mid,Excellent,Running
333,Bata,Men,6499,2575,38,4.1,3924,Mid,Good,Casual
334,U.S. Polo Assn.,Men,3499,2220,64,3.8,1279,Mid,Average,Casual
335,Reebok,Women,4499,3681,64,3.8,818,Upper-Mid,Average,Casual
336,Lotto,Unisex,1999,3324,10,3.5,-1325,Upper-Mid,Average,Casual
337,PUMA,Men,1799,1126,10,3.3,673,Low-Mid,Average,Casual
338,Centrino,Men,3499,2104,25,3.8,1395,Mid,Average,Casual
339,Cruiser,Men,2599,3314,25,3.8,-715,Upper-Mid,Average,Casual
340,Centrino,Women,4999,849,52,5.0,4150,Budget,Excellent,Unknown
341,Cruiser,Women,5999,849,52,4.4,5150,Budget,Good,Casual
342,Skechers,Women,2199,799,52,4.0,1400,Budget,Average,Casual
343,PUMA,Men,2499,849,52,4.1,1650,Budget,Good,Casual
344,new balance,Women,2499,1499,31,4.1,1000,Low-Mid,Good,Casual
345,ATHCO,Women,2499,899,31,3.8,1600,Budget,Average,Casual
346,PUMA,Women,3999,1304,52,3.8,2695,Low-Mid,Average,Unknown
347,Skechers,Women,5599,1608,52,3.8,3991,Low-Mid,Average,Casual
348,Skechers,Men,10999,1199,50,4.1,9800,Low-Mid,Good,Casual
